Wayfair Remittance #: 6431024
For Supplier: (US)SuZhouLiShunWangLuoKeJiYouXianGongSi
Date: 02/10/2023

Wayfair
100 Huntington Avenue
4 Copley Place, Suite 7000
Boston, MA 02116If you require any support or have any questions regarding this payment remittance please open an Accounting Ticket at https://partners.wayfair.com/v/submit_ticket/index
Total (USD): ,1134.08
To be sent via EFT

Invoice #,PO #,Invoice Date,Product Amount,Wayfair Allowance for Damages/ Defects (4%),Shipping,Other,Tax/VAT,Payment Amount,Business,Order Type
CS438201933,CS438201933,"12/12/2022",94.34,-3.77,0,0,0,90.57,Wayfair,Drop-ship
CS438323184,CS438323184,"12/12/2022",94.34,-3.77,0,0,0,90.57,Wayfair,Drop-ship
CS438453138,CS438453138,"12/12/2022",94.34,-3.77,0,0,0,90.57,Wayfair,Drop-ship
CS438457352,CS438457352,"12/12/2022",170.84,-6.84,0,0,0,164,Wayfair,Drop-ship
CS438546155,CS438546155,"12/12/2022",72.99,-2.92,0,0,0,70.07,Wayfair,Drop-ship
CS438551364,CS438551364,"12/12/2022",170.84,-6.84,0,0,0,164,Wayfair,Drop-ship
CS438572577,CS438572577,"12/12/2022",59.49,-2.38,0,0,0,57.11,Wayfair,Drop-ship
CS438589843,CS438589843,"12/12/2022",73.09,-2.92,0,0,0,70.17,Wayfair,Drop-ship
CS438723709,CS438723709,"12/14/2022",55.99,-2.24,0,0,0,53.75,Wayfair,Drop-ship
CS438772876,CS438772876,"12/13/2022",68.79,-2.75,0,0,0,66.04,Wayfair,Drop-ship
CS438798253,CS438798253,"12/13/2022",94.34,-3.77,0,0,0,90.57,Wayfair,Drop-ship
CS438857583,CS438857583,"12/14/2022",40.79,-1.63,0,0,0,39.16,Wayfair,Drop-ship
CS438904061,CS438904061,"12/14/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS438928477,CS438928477,"12/14/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS438957727,CS438957727,"12/14/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS438969950,CS438969950,"12/14/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS439020217,CS439020217,"12/15/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS439025078,CS439025078,"12/15/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS439038524,CS439038524,"12/15/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS439208783,CS439208783,"12/15/2022",103.19,-4.14,0,0,0,99.05,Wayfair,Drop-ship
CS439219227,CS439219227,"12/16/2022",55.99,-2.24,0,0,0,53.75,Wayfair,Drop-ship
CS439290771,CS439290771,"12/16/2022",61.59,-2.46,0,0,0,59.13,Wayfair,Drop-ship

,,Sub-total:,1310.95,-52.44,0,0,0,1258.51

Deduction,CS439038524,12/15/2022,,,,,,-11.5
Item: RAK-WAV9040WBLK,Qty: 1
Customer: Shauna Vidueira,Reason: Reviews for Free Samples
Desc: "We incurred shipping costs totaling 11.5 for a tried and true order that per our agreement should be at no cost to Wayfair. Credit reflects cost we paid in shipping on behalf of (US)SuZhouLiShunWangLuoKeJiYouXian GA 31326."

Deduction,CS439025078,12/15/2022,,,,,,-12.44
Item: RAK-WAV9040WOAK,Qty: 1
Customer: Darlinda Cumbee,Reason: Reviews for Free Samples
Desc: "We incurred shipping costs totaling 12.44 for a tried and true order that per our agreement should be at no cost to Wayfair. Credit reflects cost we paid in shipping on behalf of (US)SuZhouLiShunWangLuoKeJiYouXian GA 31326."

Deduction,CS438969950,12/14/2022,,,,,,-23.9
Item: RAK-WAV9040vBRN,Qty: 1
Customer: Megan Howard,Reason: Reviews for Free Samples
Desc: "We incurred shipping costs totaling 23.9 for a tried and true order that per our agreement should be at no cost to Wayfair. Credit reflects cost we paid in shipping on behalf of (US)SuZhouLiShunWangLuoKeJiYouXian TX 77066."

Deduction,CS438957727,12/14/2022,,,,,,-18.8
Item: RAK-WAV9040OAK,Qty: 1
Customer: Martika Stone,Reason: Reviews for Free Samples
Desc: "We incurred shipping costs totaling 18.8 for a tried and true order that per our agreement should be at no cost to Wayfair. Credit reflects cost we paid in shipping on behalf of (US)SuZhouLiShunWangLuoKeJiYouXian NJ 08505."

Deduction,CS439020217,12/15/2022,,,,,,-14.29
Item: RAK-WAV9040WBLK,Qty: 1
Customer: Barbara Reid,Reason: Reviews for Free Samples
Desc: "We incurred shipping costs totaling 14.29 for a tried and true order that per our agreement should be at no cost to Wayfair. Credit reflects cost we paid in shipping on behalf of (US)SuZhouLiShunWangLuoKeJiYouXian GA 31326."

Deduction,CS438904061,12/14/2022,,,,,,-15.74
Item: RAK-WAV9040OAK,Qty: 1
Customer: Yamila Pichardo,Reason: Reviews for Free Samples
Desc: "We incurred shipping costs totaling 15.74 for a tried and true order that per our agreement should be at no cost to Wayfair. Credit reflects cost we paid in shipping on behalf of (US)SuZhouLiShunWangLuoKeJiYouXian NJ 08505."

Deduction,CS438928477,12/14/2022,,,,,,-10.42
Item: RAK-WAV9040BLK,Qty: 1
Customer: Shynell Richardson,Reason: Reviews for Free Samples
Desc: "We incurred shipping costs totaling 10.42 for a tried and true order that per our agreement should be at no cost to Wayfair. Credit reflects cost we paid in shipping on behalf of (US)SuZhouLiShunWangLuoKeJiYouXian NJ 08505."

Deduction,CS438957727,12/14/2022,,,,,,-17.34
Item: RAK-WAV9040OAK,Qty: 1
Customer: Martika Stone,Reason: Reviews for Free Samples
Desc: "We incurred shipping costs totaling 17.34 for a tried and true order that per our agreement should be at no cost to Wayfair. Credit reflects cost we paid in shipping on behalf of (US)SuZhouLiShunWangLuoKeJiYouXian NJ 08505."


,,,,,,,Total (USD): ,1134.08

"Please Note Any deduction/invoice disputes need to be brought to our attention within 60 days of payment date. After 60 days, the dispute is not valid and will be closed."
"Visit our extranet page for more information about your account terms, contacts, allowances and dispute statuses."
