Wayfair Remittance #: 6431020
For Supplier: (US)SuZhouLiShunWangLuoKeJiYouXianGongSi
Date: 02/03/2023

Wayfair
100 Huntington Avenue
4 Copley Place, Suite 7000
Boston, MA 02116If you require any support or have any questions regarding this payment remittance please open an Accounting Ticket at https://partners.wayfair.com/v/submit_ticket/index
Total (USD): ,211.93
To be sent via EFT

Invoice #,PO #,Invoice Date,Product Amount,Wayfair Allowance for Damages/ Defects (4%),Shipping,Other,Tax/VAT,Payment Amount,Business,Order Type
CS432757408,CS432757408,"11/18/2022",128.99,-5.16,0,0,0,123.83,Wayfair,Drop-ship
CS432760723,CS432760723,"11/18/2022",128.99,-5.16,0,0,0,123.83,Wayfair,Drop-ship
CS433678556,CS433678556,"11/21/2022",52.99,-2.12,0,0,0,50.87,Wayfair,Drop-ship
CS433725460,CS433725460,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433725674,CS433725674,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433725788,CS433725788,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433725973,CS433725973,"11/23/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433726113,CS433726113,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433726152,CS433726152,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433726499,CS433726499,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433726557,CS433726557,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433726682,CS433726682,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433726685,CS433726685,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433726872,CS433726872,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433727004,CS433727004,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433727006,CS433727006,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433727073,CS433727073,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433727294,CS433727294,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433727498,CS433727498,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433727538,CS433727538,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433727603,CS433727603,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433727676,CS433727676,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433727989,CS433727989,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433728178,CS433728178,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433728528,CS433728528,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433728670,CS433728670,"11/23/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433728709,CS433728709,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433729137,CS433729137,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433729727,CS433729727,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433730666,CS433730666,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433730667,CS433730667,"11/22/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS433840599,CS433840599,"11/22/2022",110.99,-4.44,0,0,0,106.55,Wayfair,Drop-ship
CS433946808,CS433946808,"11/23/2022",0,0,0,0,0,0,Wayfair,Drop-ship
CS434045486,CS434045486,"11/23/2022",200.99,-8.04,0,0,0,192.95,Wayfair,Drop-ship
CS436007757,CS436007757,"11/29/2022",232.18,-9.28,0,0,0,222.9,Wayfair,Drop-ship
CS437552252,CS437552252,"12/06/2022",200.99,-8.04,0,0,0,192.95,Wayfair,Drop-ship

,,Sub-total:,1056.12,-42.24,0,0,0,1013.88

Deduction,CS433727294,11/22/2022,,,,,,-28.09
Item: FPT-CBT71xBLK,Qty: 1
Customer: Randi Gleason-Dayaram,Reason: Reviews for Free Samples
Desc: "We incurred shipping costs totaling 28.09 for a tried and true order that per our agreement should be at no cost to Wayfair. Credit reflects cost we paid in shipping on behalf of (US)SuZhouLiShunWangLuoKeJiYouXian CA 90201."

Deduction,CS433727498,11/22/2022,,,,,,-40.62
Item: FPS-TVS1330LGRY,Qty: 1
Customer: Caitlyn Sarazin,Reason: Reviews for Free Samples
Desc: "We incurred shipping costs totaling 40.62 for a tried and true order that per our agreement should be at no cost to Wayfair. Credit reflects cost we paid in shipping on behalf of (US)SuZhouLiShunWangLuoKeJiYouXian CA 90201."

Deduction,CS433725460,11/22/2022,,,,,,-41.82
Item: FPS-TVS1330LGRY,Qty: 1
Customer: Melissa Cox,Reason: Reviews for Free Samples
Desc: "We incurred shipping costs totaling 41.82 for a tried and true order that per our agreement should be at no cost to Wayfair. Credit reflects cost we paid in shipping on behalf of (US)SuZhouLiShunWangLuoKeJiYouXian CA 90201."

Deduction,CS433725973,11/23/2022,,,,,,-6.21
Item: CBT-HMR1237WHT,Qty: 1
Customer: Elinor Rodriguez,Reason: Reviews for Free Samples
Desc: "We incurred shipping costs totaling 6.21 for a tried and true order that per our agreement should be at no cost to Wayfair. Credit reflects cost we paid in shipping on behalf of (US)SuZhouLiShunWangLuoKeJiYouXian NJ 08505."

